tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	MT	2.5	242.7	40.2	17.8	2	17	0.0	BRa.21a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:48:17	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.21	pmagpy-4.2.113: demag_gui	BRa.21a
This study	HT	0.0	258.5	-8.1	1.7	2	12	100.0	BRa.21a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:48:17	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.21	pmagpy-4.2.113: demag_gui	BRa.21a
This study	MT	2.5	259.6	-11.2	17.8	2	17	100.0	BRa.21a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:48:17	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.21	pmagpy-4.2.113: demag_gui	BRa.21a
This study	HT	0.0	230.6	28.6	1.6	2	11	0.0	BRa.22a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:49:22	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.22	pmagpy-4.2.113: demag_gui	BRa.22a
This study	MT	10.0	242.9	34.4	16.6	2	17	0.0	BRa.22a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:49:22	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.22	pmagpy-4.2.113: demag_gui	BRa.22a
This study	HT	0.0	244.4	-8.0	1.6	2	11	100.0	BRa.22a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:49:22	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.22	pmagpy-4.2.113: demag_gui	BRa.22a
This study	MT	10.0	254.7	-14.6	16.6	2	17	100.0	BRa.22a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:49:22	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.22	pmagpy-4.2.113: demag_gui	BRa.22a
This study	MT	5.4	243.6	42.1	8.5	2	17	0.0	BRa.23a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:50:28	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.23	pmagpy-4.2.113: demag_gui	BRa.23a
This study	HT	0.0	238.4	36.0	2.3	2	12	0.0	BRa.23a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:50:28	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.23	pmagpy-4.2.113: demag_gui	BRa.23a
This study	MT	5.4	261.6	-10.7	8.5	2	17	100.0	BRa.23a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:50:28	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.23	pmagpy-4.2.113: demag_gui	BRa.23a
